  ENSEMBLE_MEMBER  COLUMN_HEIGHT   M_FLOW_RATE     SOURCE_START    SOURCE_DURAT    TOP_HAT_THICK   SUZUKI_A        SUZUKI_L        WIND_U          WIND_V          CLOUD_HEIGHT    CLOUD_THICK     FI_MEAN         DIAMETER_AGGR   DENSITY_AGGR    
      0017          0.86871        -0.75395         0.00894         0.59774         0.89328        -0.12677        -0.72108         0.12722        -0.60145        -0.89569        -0.88244        -0.50683         0.99773         0.60753
      0018         -0.70778        -0.87439        -0.90426         0.97165         0.14117         0.32510         0.32727        -0.18734        -0.72732        -0.48680        -0.55464        -0.23493         0.39840         0.99681
      0019         -0.09918        -0.73947        -0.50857        -0.97357         0.21567         0.43137         0.30720         0.02461        -0.38645         0.67059         0.50026         0.40120         0.38487        -0.80376
      0020         -0.34443         0.38312         0.01500         0.67250        -0.75347        -0.36365        -0.25239         0.18377         0.04467         0.90387        -0.62770        -0.52438        -0.56385         0.73620
      0021         -0.15223         0.54730        -0.33444         0.86694         0.86512         0.05139        -0.98329         0.83720         0.44114        -0.32407        -0.62953         0.02955        -0.28167        -0.38508
      0022          0.60717        -0.06236        -0.65387        -0.49629         0.34898        -0.55511         0.67923        -0.75816         0.33995         0.23003        -0.59232         0.54192         0.25846         0.30422
      0023          0.74031        -0.49049         0.32648         0.46764        -0.00687         0.12806         0.37948         0.26566         0.44062         0.46674         0.95617         0.57529        -0.97942         0.34827
      0024          0.20384        -0.15182        -0.85612         0.55956        -0.41419         0.45948        -0.96324         0.58821         0.67516         0.03456        -0.30285         0.89388         0.80337        -0.08023
      0025          0.27002        -0.33889        -0.81566        -0.85522         0.05415        -0.56135        -0.64702        -0.50760         0.05635         0.07218         0.03625         0.14439        -0.54623         0.78148
      0026          0.72723        -0.93725         0.93099         0.80861         0.47645         0.27148        -0.62327        -0.54394         0.64312        -0.02419         0.48338        -0.24028        -0.40958        -0.07763
      0027          0.96535        -0.41045        -0.30812         0.03875         0.85994         0.76948        -0.21631        -0.90541        -0.35506        -0.57103         0.68554        -0.91554        -0.13561        -0.90483
      0028         -0.00536        -0.81350        -0.39704        -0.61571         0.55631        -0.48558        -0.40414        -0.56840         0.15580         0.14513         0.98734         0.92508        -0.25328        -0.37774
      0029         -0.93716        -0.94185         0.71358        -0.93044        -0.70835        -0.98007        -0.96884        -0.36449        -0.09933        -0.86579         0.10837        -0.71680        -0.47908         0.75772
      0030         -0.93770        -0.21726         0.54840        -0.01751         0.62461        -0.05674         0.05968        -0.45478         0.97042         0.59156         0.37408        -0.35217         0.60197         0.96543
      0031          0.20072        -0.97620         0.81677        -0.98168        -0.02082         0.08657         0.72919        -0.84534        -0.42439         0.34598         0.20733        -0.13112         0.76428        -0.69473
      0032         -0.01584         0.10902         0.87260         0.41345         0.33490         0.18691         0.52354         0.54805         0.13179         0.39758         0.22230         0.62836        -0.20421         0.72672
      0033          0.07043        -0.94507         0.57246        -0.14560         0.45203         0.65830        -0.35560         0.66849        -0.46853         0.18686         0.98252        -0.80668         0.43167         0.16197
      0034          0.98525         0.72391         0.84042         0.99656         0.30527         0.79610        -0.46396        -0.09475        -0.57562        -0.60414         0.03785         0.47769         0.21256        -0.65672
      0035         -0.39630        -0.47145         0.59244        -0.53683        -0.34948        -0.93358        -0.64875        -0.86588        -0.82913         0.52272         0.07745         0.39395         0.30488        -0.42208
      0036         -0.72985         0.94386         0.41517        -0.11633        -0.13941        -0.22723        -0.46696        -0.98520        -0.35998        -0.92990        -0.68017         0.24134         0.81342         0.40081
      0037         -0.60391         0.46640        -0.42198         0.71618        -0.51274        -0.26294        -0.53946         0.20534        -0.28127         0.07564         0.52928        -0.17043        -0.87092        -0.12058
      0038          0.44492         0.64437         0.11260        -0.68098        -0.19542        -0.86301         0.33382         0.61471        -0.51805        -0.69192        -0.10629        -0.08800        -0.61028         0.68765
      0039          0.69607        -0.72949        -0.50144        -0.15621        -0.72768         0.45247        -0.34979         0.64690        -0.50238         0.59193        -0.64864        -0.08318         0.02444        -0.29463
      0040          0.00009         0.60441         0.04249        -0.85307        -0.34252        -0.76782         0.49500        -0.42541         0.24193        -0.94149         0.45565         0.33944        -0.77942        -0.20315
      0041          0.51462        -0.10041         0.51740        -0.20248        -0.04490         0.03189         0.20636         0.88893        -0.32627        -0.59243         0.95495         0.83370        -0.94861        -0.72369
      0042         -0.20871         0.39075        -0.57812        -0.74341         0.66462        -0.99321         0.72223        -0.29029         0.97305         0.51582         0.30348         0.69894         0.81644        -0.78012
      0043          0.34584        -0.64021         0.66383        -0.35828         0.52871        -0.46024         0.87280         0.52329        -0.93544        -0.51472         0.14146         0.00678         0.49715         0.25728
      0044          0.74268        -0.17777         0.48916         0.55355         0.07642        -0.56331        -0.23261         0.94267         0.41255         0.15510        -0.39190         0.74951        -0.37610        -0.22148
      0045          0.72784         0.67475         0.86381         0.50164         0.98552         0.86082         0.18749        -0.32026        -0.73944        -0.40094        -0.90493        -0.04859         0.86909         0.21241
      0046          0.78648        -0.50808         0.50294         0.67601        -0.18427         0.36652         0.03594         0.05406         0.49130         0.34451         0.59720        -0.38672        -0.11374         0.73132
      0047         -0.71545         0.97334         0.88490        -0.61006         0.84723        -0.89802        -0.03293        -0.43145         0.21258         0.14349         0.06768        -0.52030        -0.95227         0.78270
      0048          0.13216         0.91248         0.77230        -0.32426        -0.62809         0.85941        -0.04282        -0.79774         0.83333        -0.03860        -0.78329        -0.11001         0.66227        -0.83368
      0049         -0.49820        -0.99061         0.45999        -0.21810        -0.90156        -0.77534         0.28534         0.92977        -0.73068         0.35885        -0.92729        -0.95927        -0.34569        -0.40278
      0050         -0.53840        -0.51722         0.06847         0.61797        -0.90642         0.86674        -0.48904         0.63135        -0.45576         0.40797        -0.05714         0.64356        -0.45376         0.93193
      0051         -0.88032        -0.32904         0.91802         0.22347        -0.99933         0.22284         0.97090        -0.90739         0.96414         0.87174        -0.03996        -0.22999         0.90927         0.59257
      0052         -0.01424         0.33327         0.71093        -0.90849         0.93562         0.50611        -0.32511        -0.58420         0.26369        -0.23975         0.98877        -0.92317         0.42261        -0.88166
      0053         -0.97537        -0.94707         0.83777         0.53400        -0.65413         0.58648        -0.89973        -0.29321        -0.14636        -0.75201         0.10102         0.81311         0.09576         0.36277
      0054         -0.20290         0.16336        -0.84815         0.41241         0.76439        -0.27380        -0.19223         0.07982         0.30888         0.63617        -0.98819         0.87726        -0.09755         0.21504
      0055         -0.49765         0.13327        -0.11157        -0.04911         0.77002         0.80647         0.10371        -0.12688         0.76196        -0.91054         0.80198         0.49019         0.80978        -0.13761
      0056         -0.88681         0.56944        -0.35634         0.71358        -0.91186         0.06991         0.83843         0.69644         0.50753        -0.02365        -0.37346         0.46638         0.33095        -0.88916
      0057          0.08615         0.59370         0.38540         0.06660        -0.18890         0.73711        -0.20961        -0.60491         0.82845        -0.28258        -0.82693         0.90312        -0.27779        -0.20260
      0058          0.95694        -0.76478         0.95839         0.44752         0.06563        -0.81527        -0.20471         0.32528        -0.92425        -0.61392        -0.98619         0.95900         0.30963        -0.39388
      0059         -0.16916        -0.33244         0.27602        -0.53516        -0.01853        -0.67856        -0.44954        -0.72161        -0.78457         0.26182        -0.05162         0.52330         0.67285        -0.62477
      0060          0.73938         0.54346        -0.62347         0.94376         0.69840         0.05071        -0.74716         0.76743         0.08587         0.58301         0.98592         0.43248         0.57080         0.68116
      0061          0.40526        -0.36815         0.11626        -0.75305         0.95312         0.02313        -0.67601         0.21562         0.29712         0.31990         0.35874         0.92892        -0.32706        -0.70930
      0062         -0.74755         0.93561         0.06952         0.15391         0.50838         0.47116        -0.38303        -0.21189        -0.06849         0.07098        -0.81718        -0.15202         0.69697         0.23464
      0063         -0.89048        -0.15441        -0.80305         0.94067         0.14187         0.65709         0.58336         0.66517        -0.09632        -0.01069        -0.42510        -0.58519         0.19979         0.92844
      0064         -0.22588         0.96762        -0.07278        -0.42221         0.24446        -0.36503        -0.16188        -0.34392        -0.65433         0.06200         0.22993         0.50193         0.23384         0.63652
      0065          0.87852        -0.86713         0.90971         0.49218        -0.28763        -0.22902         0.21345         0.11150        -0.94869        -0.32872        -0.61680        -0.31960        -0.38894        -0.81581
      0066         -0.53136        -0.84028         0.47463        -0.15283        -0.89019         0.26570         0.24239         0.81075        -0.88189         0.36355         0.04564         0.51063         0.45714         0.57676
      0067         -0.48851         0.85042         0.71880         0.01991        -0.33357        -0.17667         0.76941        -0.68606         0.93579        -0.89832         0.57764        -0.49451        -0.55038        -0.75381
      0068         -0.28560        -0.00446        -0.56941         0.78663         0.88709         0.64182         0.83519         0.37314        -0.41627         0.82634        -0.54118         0.71360         0.86873         0.78687
      0069          0.26076         0.04874         0.99045         0.32641        -0.58813         0.62252         0.78096        -0.04783        -0.40955        -0.42733        -0.17478        -0.19791        -0.55639        -0.36574
      0070         -0.88264         0.27012         0.84280        -0.61498        -0.89739        -0.63187         0.34264         0.63272         0.00888         0.10443        -0.13484        -0.93187         0.95555        -0.68422
      0071         -0.28300         0.83282        -0.03088        -0.51338         0.22048        -0.61355        -0.48598         0.16437        -0.05129         0.73392         0.28405        -0.54989         0.33558         0.22204
      0072         -0.67884        -0.24474         0.99381        -0.72289        -0.23895         0.35923        -0.97691         0.19132         0.27598        -0.86776         0.50659         0.98874        -0.31719        -0.33199
      0073         -0.32611        -0.09661        -0.50818         0.86784         0.32056         0.72883         0.23770         0.23773        -0.57869        -0.48260         0.50454        -0.40908         0.74967        -0.63638
      0074          0.50527        -0.78142        -0.41671        -0.99017         0.29103        -0.63824        -0.17506        -0.89867         0.22871         0.37917        -0.34422         0.86070        -0.71145        -0.13552
      0075         -0.65411        -0.60518        -0.02206        -0.92566         0.47839        -0.25562         0.24874         0.33196        -0.99452        -0.00394        -0.65293         0.52959        -0.18738         0.70180
      0076         -0.14600         0.50360        -0.85917         0.75278         0.34355        -0.78143         0.85297         0.49928         0.73323         0.49406        -0.94632        -0.36987        -0.68610        -0.48456
      0077          0.43327        -0.04156         0.30747        -0.09688         0.47773         0.39850        -0.19408        -0.88901        -0.02883        -0.44978        -0.52898         0.12802         0.50514        -0.59346
      0078          0.33993        -0.15079        -0.33231        -0.05833        -0.37149        -0.40206        -0.88370        -0.81662        -0.93414         0.58181        -0.89495         0.56038         0.96066        -0.20689
      0079         -0.08609         0.92850        -0.17952        -0.93105        -0.35054         0.74255         0.29182         0.61835        -0.43207        -0.55034         0.12351        -0.70807         0.61772         0.12561
      0080         -0.90073         0.32701        -0.91208         0.20568         0.54648         0.29066         0.27171        -0.92513         0.86774         0.09206         0.76780        -0.04713        -0.05847        -0.22050
      0081         -0.90728        -0.21210        -0.73179         0.16391         0.87120        -0.81787         0.77097        -0.17721         0.37563         0.01910         0.99036        -0.98726         0.89396        -0.41588
      0082         -0.81331        -0.73047         0.51676        -0.07401         0.47437        -0.11333        -0.89195         0.74940         0.53849         0.86102        -0.95422        -0.43764        -0.76882         0.30628
      0083         -0.43569         0.95006        -0.25568         0.79812         0.29489         0.03819         0.38864        -0.45907         0.58061        -0.80485         0.79348        -0.87954        -0.62174        -0.05389
      0084          0.06684        -0.91810         0.66494         0.28888         0.86824         0.75537         0.73652         0.14973        -0.57711         0.46002        -0.09822        -0.05012         0.99864         0.82408
      0085         -0.78645         0.49555        -0.13941        -0.61188        -0.67039        -0.48169        -0.58275        -0.60666        -0.13220         0.30869        -0.88448         0.29351        -0.96182         0.03766
      0086          0.67476        -0.11055        -0.17757         0.42047         0.94728         0.43019        -0.59039         0.10799        -0.20791         0.44589         0.07351         0.63796        -0.48889        -0.49306
      0087         -0.63577         0.22635         0.77763         0.98139         0.24499         0.19795         0.97939        -0.27487         0.00141         0.72744         0.59359         0.25158         0.76843        -0.20940
      0088          0.31958        -0.50756        -0.24908         0.85130        -0.49283        -0.04611         0.96000         0.55554         0.76855         0.17655        -0.99908         0.49874        -0.03423         0.87967
      0089         -0.89518         0.15797         0.28155        -0.63680        -0.12785         0.00343        -0.85605         0.14854        -0.24104         0.26121        -0.81806        -0.81166         0.79669         0.62330
      0090         -0.53058        -0.74062        -0.08802         0.20026        -0.30623         0.81142         0.52472         0.97329         0.63963        -0.26289        -0.39112        -0.73485         0.93537         0.53018
      0091          0.85172         0.03040         0.43233        -0.44245         0.94444        -0.23594        -0.95709        -0.42301         0.16911         0.23064         0.13767        -0.04158        -0.41269         0.87059
      0092         -0.50892         0.99307        -0.75146         0.47636        -0.91474        -0.37334        -0.44509         0.12799         0.89823        -0.05577        -0.22288         0.22340        -0.39824         0.58848
      0093          0.75555         0.07494        -0.36217        -0.98884         0.14305         0.64301         0.05708         0.40333        -0.83896         0.34659        -0.05767        -0.39888         0.11586        -0.45494
      0094          0.33086        -0.55027        -0.70726        -0.54021        -0.26580        -0.68169         0.09045         0.53345         0.05959        -0.74504         0.66155        -0.17728         0.32759        -0.30862
      0095         -0.53638         0.44402        -0.55587        -0.16532        -0.91612         0.29864        -0.94146         0.14509         0.26113        -0.61514        -0.00833        -0.39155         0.52758         0.55118
      0096         -0.10637        -0.81118         0.67597         0.62236         0.97714         0.05444         0.99437         0.52762         0.88936        -0.29409         0.29358        -0.74992         0.71913         0.13928
      0097         -0.73352        -0.50240         0.47215        -0.96695         0.61891         0.19682        -0.98600        -0.23949        -0.57025        -0.63096        -0.17401         0.32205        -0.06011         0.97143
      0098         -0.37401         0.56255         0.75471         0.01810        -0.22731        -0.83991        -0.01248        -0.27721         0.38278        -0.31790         0.35734         0.62011        -0.19226        -0.50355
      0099         -0.06057         0.81153        -0.72116        -0.29698         0.63178         0.07755         0.44903         0.03013         0.89957        -0.77859        -0.75615         0.06370         0.64979        -0.26016
      0100         -0.85760         0.86165        -0.29484         0.83698        -0.97655        -0.83090         0.81475        -0.00878        -0.91873        -0.89522        -0.21534        -0.50615         0.66726         0.70322
      0101          0.94486        -0.82459         0.60975        -0.39291         0.81200        -0.35785         0.11371         0.25636        -0.04343        -0.20699         0.82169        -0.90384        -0.32196         0.28564
      0102         -0.34997         0.11732         0.11558         0.42742         0.96848        -0.45799        -0.66957        -0.59687         0.52205         0.06846        -0.05312         0.25316         0.31243         0.86162
      0103          0.76110        -0.98013         0.96818        -0.74451        -0.62041         0.75928         0.80428         0.72330         0.77358        -0.95832        -0.79485        -0.17437        -0.27291         0.15227
      0104         -0.25855        -0.67795        -0.57506         0.87869         0.12223         0.77151        -0.85073         0.76789        -0.18420         0.13520         0.87190         0.45104         0.14582         0.29443
      0105         -0.46478         0.47696        -0.18387        -0.24120        -0.75916        -0.60717         0.31782         0.81430        -0.91690        -0.64666         0.80018        -0.00734        -0.55646        -0.44438
      0106         -0.51046         0.87931         0.42954        -0.24778         0.93256        -0.01016        -0.12472        -0.46225         0.19676        -0.67311        -0.71105         0.91999         0.06441         0.42583
      0107         -0.64837         0.90536        -0.61157        -0.97484        -0.50589        -0.74451         0.44637         0.25443         0.17527        -0.15647         0.95022         0.16579        -0.78916        -0.90652
      0108         -0.49404         0.50371         0.69392        -0.12953        -0.94429        -0.03651        -0.66806        -0.19690        -0.52594        -0.97829         0.91413         0.33710         0.76251         0.13390
      0109         -0.10420        -0.42080         0.30506        -0.95051         0.06929         0.31453        -0.11337        -0.46142        -0.56166        -0.61047         0.24798        -0.87600        -0.91008        -0.38264
      0110          0.90688        -0.91093         0.37809         0.49995         0.23275         0.89243        -0.44167        -0.65701         0.17882        -0.37952         0.79417        -0.03361        -0.05959         0.94101
      0111         -0.22374        -0.09305         0.20297         0.81374         0.35681        -0.62897         0.46969        -0.17284        -0.63434         0.53214         0.84948        -0.68726         0.71424        -0.43853
      0112         -0.66566        -0.70602        -0.80023        -0.13377        -0.27992        -0.89499        -0.52168        -0.60307        -0.67626         0.62716         0.63813        -0.79679        -0.53990         0.44946
      0113         -0.85424        -0.40313         0.23536        -0.87994        -0.17664        -0.49690        -0.69733         0.10500        -0.33381         0.71978         0.51229        -0.62627         0.82401        -0.70418
      0114         -0.98896         0.32981        -0.43930        -0.32713        -0.28177        -0.33548         0.80618         0.30813        -0.83215        -0.97865         0.77590        -0.59560        -0.43982         0.46393
      0115         -0.91807         0.92974        -0.16600         0.93471        -0.09584         0.40671        -0.39387        -0.67401        -0.63461        -0.00844         0.61030         0.14329        -0.75189         0.98891
      0116          0.94345        -0.93008         0.98607        -0.32245         0.49668         0.68269        -0.24627         0.50947         0.37324         0.44343         0.18220        -0.90175         0.36320         0.48539
      0117         -0.31879         0.50157        -0.35300         0.57220         0.17279         0.45184        -0.95428        -0.78531         0.79419         0.28454        -0.50049        -0.16466         0.19293        -0.97227
      0118         -0.75495         0.70167        -0.65227         0.84205        -0.49177         0.67943        -0.26960        -0.59184         0.11309         0.45590        -0.86437        -0.33569         0.57563         0.39445
      0119         -0.54865        -0.30124        -0.73416         0.84301         0.00981        -0.10728         0.55327        -0.34568         0.65390        -0.60179        -0.77261         0.66518        -0.81280        -0.46570
      0120         -0.17876         0.62109         0.62762        -0.90148        -0.55915         0.80396        -0.76784        -0.50008        -0.06554         0.30775        -0.55318         0.59135         0.10380        -0.51680
      0121         -0.86265         0.43658         0.35657         0.60582         0.61918         0.11837         0.15032         0.00126         0.67098         0.58846         0.26387         0.11292         0.30010        -0.54314
      0122         -0.07794        -0.80124        -0.77346        -0.15026        -0.70698         0.09388        -0.34370         0.81934         0.73437         0.75493        -0.10420         0.00895         0.72394         0.80162
      0123         -0.51503        -0.44641         0.32950         0.41450         0.18508        -0.92421         0.98070         0.99757         0.46862         0.41327        -0.53969         0.97037        -0.68497         0.87401
      0124         -0.97006         0.51660         0.39276        -0.24869        -0.90076        -0.36290         0.45209        -0.30187         0.68256         0.41381        -0.58989        -0.43355        -0.85023        -0.77379
      0125          0.24036         0.74444        -0.01439         0.74336         0.51598        -0.67271        -0.79079         0.79922         0.60895        -0.13475         0.05457        -0.41005         0.98413         0.74182
      0126         -0.62884        -0.34308        -0.75330        -0.70215        -0.64722         0.22535        -0.50016         0.05816         0.79198        -0.28161        -0.71076         0.96645         0.00492        -0.47163
      0127          0.09173        -0.31441         0.02931         0.89789        -0.46815        -0.57336        -0.96771        -0.33856        -0.33779         0.91953        -0.13983         0.76604        -0.46897        -0.22343
      0128          0.12923         0.00560        -0.64333        -0.91590        -0.66678         0.83304        -0.36196         0.68130         0.33640         0.92115         0.69793        -0.01669        -0.79171         0.01852
      0129         -0.73925         0.27824        -0.32961         0.18286         0.87808         0.18498        -0.33557        -0.30713         0.09420        -0.46980        -0.97304         0.24602        -0.03888        -0.27987
      0130         -0.45762         0.18495         0.66288         0.20997         0.67295         0.15688        -0.92138         0.50367        -0.64833         0.82202        -0.04624         0.75342        -0.51663        -0.80208
      0131         -0.21439         0.83691         0.54161        -0.45383         0.29290         0.39480         0.55424        -0.00378        -0.91708         0.38674         0.48614         0.10693         0.81080         0.68615
      0132         -0.69246         0.59898         0.60522        -0.43301        -0.41028        -0.30527        -0.44765        -0.03717         0.07859        -0.81386        -0.81310        -0.92762         0.77782         0.40863
      0133          0.53973        -0.19857         0.13648         0.26013         0.53836        -0.54971        -0.08645         0.37396        -0.81509         0.96195         0.42042         0.73988         0.96616        -0.52540
      0134         -0.83804        -0.20421         0.66847        -0.70674         0.56568         0.49362         0.76653         0.92618        -0.54563        -0.62938         0.10662         0.59415        -0.92801        -0.21309
      0135          0.38789        -0.18100         0.86293         0.08474         0.68992         0.12472         0.48437        -0.10182        -0.61934        -0.25308         0.77117         0.07307         0.37550        -0.91208
      0136          0.31658        -0.85553        -0.46354        -0.08693        -0.99207         0.01302         0.29827        -0.75145         0.19470         0.74479        -0.61581         0.16249         0.83947         0.36522
      0137          0.84949         0.36127         0.15439        -0.16171        -0.14127        -0.65652        -0.46468         0.61735         0.81088        -0.82249         0.44531         0.53105        -0.77187        -0.52175
      0138         -0.26042         0.17072        -0.23399        -0.22906         0.35792        -0.05053        -0.12189        -0.96673        -0.14225         0.75835        -0.86206        -0.74564        -0.71995        -0.53102
      0139         -0.00155         0.16551         0.70576        -0.38688        -0.79281         0.50303        -0.65695        -0.01035         0.80798        -0.62051        -0.50425         0.05371        -0.31289        -0.36909
      0140         -0.70909         0.70367         0.43980         0.30720        -0.13381        -0.98913        -0.40170         0.25926        -0.76723        -0.17116         0.41073        -0.92386        -0.01641        -0.74860
      0141          0.58214        -0.82865        -0.72685         0.45408         0.00005        -0.41984        -0.66502         0.07047         0.83971         0.15091        -0.19901         0.06824        -0.78844        -0.45376
      0142          0.55330        -0.14283        -0.96604        -0.84662         0.05013        -0.80767        -0.12845        -0.99431        -0.61119         0.59975         0.13558         0.67867         0.24844         0.70445
      0143         -0.55749         0.89117         0.64399        -0.20112        -0.94093        -0.61175        -0.30246        -0.73621         0.90683        -0.42149        -0.39619         0.67013         0.62817         0.41984
      0144          0.31494         0.86844        -0.16516         0.08353        -0.06806         0.14265         0.84466        -0.74315         0.16014        -0.76954        -0.24681        -0.11298        -0.63801        -0.98248
      0145          0.64470         0.60003        -0.70904        -0.94314        -0.35691        -0.09712        -0.41906         0.16639        -0.53118        -0.62284        -0.70968         0.12173         0.58759         0.91191
      0146          0.27289        -0.75570         0.56260         0.57123         0.90881        -0.88470        -0.13123         0.47166         0.46146         0.62861        -0.12010        -0.32875         0.05275        -0.15580
      0147         -0.40356        -0.40643         0.38610         0.02416         0.33300         0.42914        -0.46246         0.51234        -0.26629         0.99031         0.45201        -0.66896         0.79982         0.01503
      0148         -0.77573        -0.82671         0.04674        -0.03353        -0.30275         0.37490        -0.19079         0.37222        -0.69131        -0.07845        -0.31342        -0.42384        -0.93798        -0.25549
      0149         -0.33965         0.00660        -0.07121        -0.64982        -0.11043         0.92951         0.06275        -0.89057         0.26199         0.86338        -0.70150        -0.20198         0.91273         0.73356
      0150         -0.81207         0.57139        -0.35368         0.87008        -0.93370         0.41717        -0.31590         0.55815         0.93739         0.44063        -0.34508         0.82937         0.27437         0.68265
      0151         -0.23860         0.14139         0.35176         0.13496        -0.10171        -0.59179        -0.72438        -0.85938        -0.60699         0.62660         0.44966        -0.85135         0.51565        -0.31958
      0152         -0.61339        -0.13135         0.71015         0.22235        -0.12656        -0.77278         0.36042         0.03690        -0.86479         0.84764        -0.47185        -0.18499         0.12207         0.21710
      0153         -0.50655        -0.44765        -0.16697         0.54238        -0.97409         0.71844         0.94851        -0.89375         0.50357        -0.45200        -0.30913         0.95113        -0.27549         0.13823
      0154          0.10424         0.15314        -0.59484        -0.75072        -0.56426         0.77475        -0.26081         0.87342        -0.90034        -0.56138        -0.60167        -0.34606         0.55734        -0.79715
      0155         -0.53486        -0.46216         0.91450        -0.16793         0.48889        -0.31575         0.50411        -0.52759        -0.96893         0.83711        -0.19174        -0.75269        -0.73273         0.20789
      0156          0.70795         0.69391        -0.93714        -0.83144        -0.50071        -0.47529        -0.11815        -0.57294        -0.40499        -0.60902        -0.78435        -0.85656        -0.88716         0.18393
      0157          0.65583         0.92326        -0.34974         0.34728        -0.61790         0.10087        -0.28399        -0.19528        -0.79878         0.09462         0.93393        -0.78071        -0.98679        -0.29449
      0158         -0.43866         0.07007         0.44908         0.48183         0.52760        -0.78516         0.87654         0.90376         0.46791        -0.28424         0.78497         0.30848        -0.90366         0.51567
      0159         -0.76698         0.32667         0.52851         0.75088        -0.10289        -0.42139        -0.70916         0.98984        -0.83368         0.64712        -0.55682        -0.92572         0.52079        -0.41250
      0160          0.42951        -0.97942        -0.69128        -0.92009         0.29849        -0.69490        -0.15169         0.17850         0.15629        -0.50440         0.72426         0.60190         0.76258         0.11196
      0161          0.49230         0.45629        -0.61796        -0.30447         0.06854        -0.23304        -0.33462        -0.98358        -0.84548         0.97764         0.63143        -0.31880        -0.51636         0.90640
      0162          0.88474         0.80115        -0.28427        -0.00938        -0.52660         0.05269         0.56214        -0.83825        -0.33258        -0.50239        -0.96540         0.26529         0.04152         0.47686
      0163          0.63770        -0.39159        -0.48742        -0.50693        -0.16734        -0.95613        -0.92526         0.73572        -0.26918        -0.59521         0.24608        -0.85908        -0.78191        -0.68630
      0164         -0.20965         0.17742        -0.77088         0.73752        -0.00806        -0.25693        -0.86225        -0.91182         0.45076        -0.27164         0.78175         0.20866        -0.32055         0.29219
      0165         -0.32321        -0.31869         0.00535        -0.05553        -0.92651        -0.86540         0.71798        -0.90157         0.19108         0.79753         0.91901        -0.63728         0.12668        -0.90049
      0166         -0.13862         0.48851        -0.13819        -0.36076        -0.55110         0.87958        -0.65743        -0.12144        -0.62858        -0.36261         0.74223         0.33173         0.70430         0.29981
      0167         -0.10215         0.25254         0.24137        -0.50992        -0.23850         0.31912        -0.56962         0.20103        -0.43368         0.96500        -0.75818        -0.48417         0.70918         0.66796
      0168          0.72052         0.79869        -0.61689         0.55060         0.42782         0.09214         0.53486        -0.31020         0.20087        -0.34720         0.01301        -0.58389        -0.87885         0.50189
